Reviewer,Rating,Review
Kayla R.,5,"Ordered online from here for my sister in laws engagement! We had a planned party after at my inlaws to celebrate and I was in charge of the cake, so clearly, instead of baking anything, I decided to order from Nothing Bundt Cakes.The process is sooo easy. You can order ahead online. I admit, I waited to the last minute to order, so I ordered late at night for the day before. They have ones you can order with different decorations if you want, depending on what the occasion is. We just got the simple bundtini cakes (which are basically like their version of a cupcake) and did the mix of the flavors and did two dozen, which was perfect! We got red velvet, lemon, chocolate, and some other flavors, too. Literally, they're all sooo good.My husband went in to pick them up and they were ready to go at the time we asked them to be ready for. Simple easy process and I forgot how delicious these are and will definitely be ordering them more in the future!"
Shawna R.,4,"I came in here around noon time, and it was busy surprisingly but I didn't wait long before I was helped. I had a bogo coupon so I was able to get what I want, as they have all the flavors in stock. I grabbed the gluten free lemon raspberry as well as a red velvet. Easy traction, friendly staff."
Gina C.,5,I stopped by the other day to use my BOGO coupon that I got via email which I get them a lot. I also had a GC that a friend gave me for my bday last year. I was greeted right away once I got into the store by Teri. I already knew what I wanted prior to getting there. My favorite Bundtlet flavor is the chocolate chocolate chip.Which they had. I remembered to bring in my lunch card too. Teri rang me up & even offered me silverware which I declined because I was taking them home for later & one was for my friend. She put them in this super cute logo bag of theirs. Transaction was quick & easy. Teri was very nice too! Thank you!
Victoria J.,5,"I absolutely love Nothing Bundt Cakes!! I requested a last minute delivery to my sons work for his birthday and delivery was fast and easy too!  To say he was surprised would be an understatement lol  The cake was so delicious and the icing too! Always a favorite for the raspberry flavor and he loved the decorations on it too, not crazy but just enough, I will definitely be ordering again and will be picking up some of the smaller Bundt's for the holidays! I can't wait!!"
Michelle A.,5,"This year for my birthday, I opted to go with Nothing Bundt cakes.I usually go to Freed's but I recently went and spent a lot there for my daughters sweet 16 and honestly their cake was nothing to write home about.Nothing Bundt Cakes always hits the spot, it's moist, delicious and they put the perfect amount of icing.Bonus if you sign up for their email you get a free bundlet (their mini cakes) typically $5 it's a nice little bonus.The service is fast and friendly.I also go with their confetti cake my daughter usually likes their chocolate chocolate chip and my husband loves their red velvet cake.I definitely recommend them if your looking for a consistently awesome cake for any special occasion.Today I was in a bit of a hurry so I didn't get any photos of the menu."
Paul Y.,5,"The service was excellent. Staff answered any questions we had. Their selection of happy place treats was impressive.  If we are ever in the mainland and there is a Nothing Bundt Cakes, we are stopping by!"
Tina A.,5,"Nothing but Delicious Bundt cakes :) I always come here for almost every occasion for the cakes. They have so many great cake flavors to choose from. Some of my family favorites are: White Chocolate Raspberry, Red Velvet, Strawberries and Cream, and Confetti. These cakes are always super moist and the cream cheese frosting is to die for! The online order service is great too. I  opt for the curbside pick up. You pull right up to the back door of the store and they bring it right out to your car. The Service is always great here at this location even when you go inside. Very organized with a pick up line and an order line. I will continue to come back! Thank you Nothing Bundt cakes for always having the perfect cake for every holiday/occasion that never disappoints!!!"
Helen S.,5,It was really good and they had the order ready and I asked if someone else could pick the cake up and they made it seem less. So yummy. Highly recommend them for your party needs.
Roxanne E.,5,"I ordered a 8 inch cake online for my Husband's birthday! It was easy to choose the design, flavor, message, frosting, and decors! I ordered an 8 inch strawberries and cream birthday cake with lite frosting. It was nice ordering it online because you can view everything versus just ordering over the phone. They had ready for me and it was on time! The cake was super moist and the lite frosting was perfect for us! I will definitely be ordering more cakes from here!"
Row P.,5,"A perfect place to get a Bundt Cake. A wide selection of cakes in different sizes and flavors. I have been ordering from here for many years and each time the Bundt Cakes were made perfect and delicious. Just the right amount of cream cheese frosting and the texture of their cakes are smooth and decadent and it is not crumbly when getting that first bite. That's what I like! Friendly service whenever I stop in, no complaints. The inside is cute well decorated and is also a one-stop shop to get what you need for any occasion. I love how they have Individual Bundtlets to treat yourself for a sweet treat. Stop by a store near you and celebrate the goodness of Nothing Bundt Cakes."
David X.,5,I liked the mini chocolate cake I had. Definitely want to try the lemon next time. Can't wait
Madelyn T.,4,Just want to thank Gaby for her great service and being patient with me. I was being a little indecisive of what flavors to get for my husband's birthday. They are located in the Silverado Plaza off of Eastern and Silverado Ranch with tons of parking. I really like that they are stocked up on a lot of their cake flavors compared to other locations.
Brittany C.,5,"If you are looking for a WOW FACTOR cake, this is your place!Delivery was within the time window they stated and the delivery driver called me upon arrival and was super friendly. I called the store after I ordered the cake to place delivery (as I accidentally ordered pick-up when I meant to order delivery) and the customer service team was helpful and fixed my order, giving me all info I needed.The cakes have so many options and are so pretty and tasty. JUST DO IT and order from here; it will meet or exceed your expectations for the price range. $75 for a two-tiered cake that serves up to 26 or 28 people is not too bad at all in my opinion since sheet cakes other places often go for at least $50 and aren't nearly as pretty as these."
Deborah K.,5,I ordered my friends birthday cake here!They were super friendly and kind to make sure I got the perfect order for my friend.Ambiance is like a normal nothing Bundt cake?? Hahaha nothing out of the ordinary :) will be returning x
Erin S.,5,"I ordered a birthday cake online. Easy pay, easy pick up!!Highly recommend. We got a carrot cake and it was DELICIOUS!!!"
